player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Joe Thuney,10712,G,KC,17,0,16,82.0,6,19,663,100.0,100.0,98.1,0,25,0,708,708,79.9,3,15,286,100.0,100.0,96.9,18,0,314,314
Trey Smith,62960,G,KC,17,2,16,70.7,5,21,663,100.0,100.0,98.0,6,26,0,708,708,60.5,3,17,286,100.0,100.0,96.5,20,0,314,314
Sam Cosmi,60114,G,WAS,17,1,32,74.3,5,17,654,100.0,100.0,98.2,6,23,1,700,700,55.3,4,13,260,100.0,100.0,96.3,18,1,279,279
Jawaan Taylor,41665,T,KC,16,3,16,70.8,6,24,652,100.0,100.0,96.6,11,37,7,697,697,65.7,4,19,282,100.0,100.0,94.1,28,5,310,310
Cody Mauch,66637,G,TB,17,0,30,76.5,1,15,657,100.0,100.0,98.5,0,18,2,696,696,72.9,1,8,298,100.0,100.0,98.2,10,1,322,322
Ben Bredeson,27305,G,TB,17,0,30,59.5,3,29,657,100.0,100.0,97.3,3,34,2,696,696,44.4,3,26,298,100.0,100.0,94.8,30,1,322,322
Nick Allegretti,39268,G,WAS,17,1,32,57.5,1,33,650,100.0,100.0,96.9,5,37,3,696,696,29.9,1,28,260,100.0,100.0,93.3,32,3,279,279
Cooper Beebe,99434,C,DAL,16,0,9,60.3,5,10,636,100.0,100.0,98.3,1,18,3,692,692,62.3,3,7,295,100.0,100.0,97.3,13,3,328,328
Ben Powers,41482,G,DEN,17,1,10,66.6,3,15,648,100.0,100.0,98.1,3,21,3,686,686,59.9,2,9,283,100.0,100.0,97.0,14,3,301,301
John Simpson,41715,G,NYJ,17,1,22,72.3,6,11,640,100.0,100.0,98.2,3,20,3,682,682,54.6,2,10,222,100.0,100.0,95.9,15,3,236,236
Quinn Meinerz,112915,G,DEN,17,1,10,80.3,4,7,644,100.0,100.0,99.0,3,12,1,682,682,68.9,3,4,282,100.0,100.0,98.4,8,1,300,300
Tyler Smith,98385,G,DAL,16,2,9,76.0,4,16,627,100.0,100.0,98.1,3,22,2,682,682,65.4,2,11,297,100.0,100.0,97.1,15,2,327,327
Garrett Bradbury,46013,C,MIN,17,0,18,48.2,6,27,626,100.0,100.0,96.7,0,37,4,677,677,39.9,6,20,330,100.0,100.0,95.5,28,2,353,353
Blake Brandel,46282,G,MIN,17,0,18,61.4,7,27,626,100.0,100.0,96.2,2,41,7,677,677,53.5,3,19,330,100.0,100.0,94.5,29,7,353,353
Robert Jones,100786,G,MIA,17,0,17,54.3,4,19,630,100.0,100.0,97.4,3,28,5,676,676,29.4,4,15,161,100.0,100.0,92.2,22,3,174,174
Garett Bolles,11775,T,DEN,17,4,10,88.4,2,16,633,100.0,100.0,98.3,12,20,2,671,671,84.6,1,10,275,100.0,100.0,97.3,13,2,293,293
DJ Glaze,129511,T,LV,15,0,23,61.9,10,38,617,100.0,100.0,95.6,5,51,3,665,665,54.6,9,29,281,100.0,100.0,92.2,41,3,300,300
Brian O'Neill,46854,T,MIN,17,0,18,82.1,0,17,614,100.0,100.0,98.3,1,19,2,664,664,81.1,0,12,321,100.0,100.0,97.8,13,1,343,343
Trevor Penning,59963,T,NO,17,2,20,51.6,4,45,620,100.0,100.0,95.2,6,54,5,663,663,51.3,1,34,276,100.0,100.0,92.6,38,3,295,295
Darnell Wright,98480,T,CHI,16,2,6,75.4,3,21,604,100.0,100.0,97.0,4,30,6,662,662,70.2,2,12,295,100.0,100.0,95.6,20,6,328,328
Cordell Volson,30614,G,CIN,15,1,7,48.8,10,27,622,100.0,100.0,96.1,3,43,6,662,662,29.1,7,23,272,100.0,100.0,92.6,35,5,292,292
Peter Skoronski,129737,G,TEN,17,0,31,76.3,6,18,616,100.0,100.0,97.4,3,28,4,661,661,74.6,4,14,316,100.0,100.0,96.2,21,3,345,345
JC Latham,146596,T,TEN,17,0,31,67.8,11,29,615,99.8,99.8,95.6,1,47,7,660,661,56.1,8,25,316,100.0,100.0,93.2,38,5,345,345
Laremy Tunsil,10647,T,HST,17,1,13,88.6,3,14,626,100.0,100.0,98.3,5,19,2,659,659,80.4,2,12,297,100.0,100.0,97.3,15,1,316,316
Matt Pryor,46647,G,CHI,15,1,6,78.1,0,17,602,100.0,100.0,97.4,1,24,7,659,659,65.8,0,16,312,100.0,100.0,95.2,23,7,345,345
Hjalte Froholdt,44959,C,ARZ,17,1,1,66.1,5,14,615,100.0,100.0,98.0,6,22,3,658,658,56.6,1,7,227,100.0,100.0,96.9,11,3,244,244
Mike Onwenu,27357,G,NE,17,0,19,71.9,6,23,605,100.0,100.0,97.3,3,31,2,658,658,73.5,5,14,305,100.0,100.0,96.6,20,1,326,326
Taliese Fuaga,131732,T,NO,17,0,20,62.2,9,24,614,100.0,100.0,96.3,5,39,6,657,657,60.2,7,14,273,100.0,100.0,94.7,25,4,292,292
Jake Brendel,11117,C,SF,17,1,28,55.1,3,22,618,100.0,100.0,97.8,2,26,1,656,656,40.1,3,16,298,100.0,100.0,96.5,20,1,316,316
Dominick Puni,163815,G,SF,17,1,28,68.9,0,32,618,100.0,100.0,96.9,3,35,3,656,656,53.9,0,27,298,100.0,100.0,94.8,29,2,316,316
Tytus Howard,25472,T,HST,16,1,13,76.2,2,29,618,100.0,100.0,96.8,2,35,4,655,655,65.9,2,26,295,100.0,100.0,93.9,32,4,314,314
Graham Barton,122367,C,TB,16,2,30,63.7,2,20,616,100.0,100.0,98.1,5,23,1,651,651,47.9,2,17,277,100.0,100.0,96.6,19,0,300,300
John Michael Schmitz Jr.,55238,C,NYG,15,0,21,50.2,5,17,593,100.0,100.0,97.1,3,28,6,646,646,40.2,4,14,267,100.0,100.0,95.5,21,3,290,290
Colton McKivitz,29314,T,SF,17,0,28,72.8,6,28,608,100.0,100.0,96.9,0,36,2,645,645,68.2,4,21,293,100.0,100.0,95.1,27,2,310,310
Evan Brown,38709,G,ARZ,17,0,1,73.5,0,18,602,100.0,100.0,98.2,2,20,2,644,644,54.2,0,15,219,100.0,100.0,96.1,16,1,235,235
Liam Eichenberg,41851,G,MIA,17,1,17,49.7,3,24,603,100.0,100.0,97.4,2,29,2,644,644,33.5,0,16,164,100.0,100.0,94.5,17,1,174,174
Tristan Wirfs,64818,T,TB,16,1,30,93.7,1,11,604,100.0,100.0,99.0,3,12,0,638,638,88.7,0,9,280,100.0,100.0,98.4,9,0,299,299
Jake Matthews,8641,T,ATL,17,2,2,85.4,4,21,589,100.0,100.0,97.0,4,30,5,636,636,76.8,4,16,326,100.0,100.0,95.4,25,5,355,355
Mitch Morse,9482,C,JAX,17,0,15,61.9,2,9,600,100.0,100.0,98.6,2,14,3,634,634,56.0,1,8,307,100.0,100.0,97.9,11,2,322,322
Jackson Powers-Johnson,146550,G,LV,15,0,23,68.3,3,18,589,100.0,100.0,97.9,3,23,2,633,633,61.8,1,13,267,100.0,100.0,96.6,16,2,284,284
Cam Robinson,11789,T,MIN,17,2,18,70.4,7,38,597,100.0,100.0,95.1,6,52,7,632,632,61.3,6,27,311,100.0,100.0,93.1,38,5,328,328
Bradley Bozeman,27934,C,LAC,17,2,27,52.3,4,19,585,100.0,100.0,97.4,3,27,4,630,630,53.6,2,11,261,100.0,100.0,96.7,15,2,278,278
Chris Lindstrom,46692,G,ATL,17,0,2,68.0,8,22,581,100.0,100.0,97.2,2,31,1,627,627,67.7,5,17,321,100.0,100.0,96.3,23,1,350,350
Brandon Scherff,9438,G,JAX,17,1,15,74.5,1,16,591,100.0,100.0,98.6,1,17,0,625,625,61.5,1,14,303,100.0,100.0,97.5,15,0,318,318
Robert Hunt,46139,G,CAR,16,1,5,57.5,8,23,587,100.0,100.0,96.5,1,36,5,623,623,50.9,4,19,267,100.0,100.0,94.6,26,3,290,290
Zion Johnson,99681,G,LAC,17,0,27,63.6,13,15,576,100.0,100.0,96.7,1,33,5,621,621,55.4,6,11,257,100.0,100.0,95.9,19,2,274,274
Alijah Vera-Tucker,57107,G,NYJ,15,1,22,74.5,4,8,582,100.0,100.0,98.3,1,16,4,619,619,71.6,2,5,199,100.0,100.0,97.7,8,1,211,211
Matthew Bergeron,99658,G,ATL,17,2,2,68.5,9,21,573,100.0,100.0,96.9,3,33,3,618,618,59.7,6,18,316,100.0,100.0,95.3,27,3,343,343
Penei Sewell,81788,T,DET,17,1,11,74.1,5,22,596,99.8,99.8,97.6,2,28,1,617,618,71.1,2,13,219,100.0,100.0,96.1,16,1,228,228
Damien Lewis,81532,G,CAR,16,3,5,72.0,2,16,581,100.0,100.0,97.4,4,24,6,616,616,65.2,2,10,261,100.0,100.0,95.4,18,6,282,282
Dan Moore Jr.,60120,T,PIT,17,1,25,66.2,3,26,577,100.0,100.0,95.4,3,41,12,615,615,58.2,1,18,226,100.0,100.0,92.7,26,7,243,243
Wyatt Teller,46131,G,CLV,13,1,8,63.1,4,21,572,100.0,100.0,97.5,2,27,2,610,610,50.9,3,16,247,100.0,100.0,95.3,21,2,267,267
Quenton Nelson,12954,G,IND,17,0,14,79.7,8,9,568,100.0,100.0,98.0,4,20,3,608,608,75.9,5,6,257,100.0,100.0,96.7,14,3,275,275
Joe Alt,147481,T,LAC,16,0,27,79.4,1,13,559,100.0,100.0,97.7,5,20,6,602,602,72.7,1,8,251,100.0,100.0,96.2,14,5,268,268
Broderick Jones,124025,T,PIT,17,0,25,54.6,9,24,561,100.0,100.0,95.3,3,43,10,593,593,47.6,6,13,221,100.0,100.0,92.1,27,8,235,235
Ikem Ekwonu,98286,T,CAR,15,1,5,66.2,5,27,559,100.0,100.0,95.9,7,39,7,593,593,58.8,5,19,249,100.0,100.0,93.6,28,4,270,270
O'Cyrus Torrence,102821,G,BUF,16,0,4,62.2,2,35,545,100.0,100.0,96.6,2,37,0,591,591,57.2,0,26,248,100.0,100.0,94.8,26,0,278,278
Dylan Parham,60953,G,LV,15,0,23,67.5,2,29,549,100.0,100.0,96.3,2,36,5,591,591,65.0,0,18,243,100.0,100.0,94.7,22,4,261,261
Kevin Dotson,46735,G,LA,16,0,26,65.6,6,14,549,100.0,100.0,97.6,0,23,3,587,587,51.5,3,12,257,100.0,100.0,96.3,17,2,277,277
David Edwards,35941,G,BUF,16,1,4,63.6,2,23,541,100.0,100.0,97.7,3,25,0,587,587,55.3,1,16,246,100.0,100.0,96.5,17,0,276,276
Shaq Mason,9564,G,HST,15,0,13,65.2,5,21,554,100.0,100.0,96.2,0,34,8,586,586,55.9,2,16,263,100.0,100.0,94.3,24,6,279,279
Graham Glasgow,10729,G,DET,16,0,11,56.2,9,23,564,100.0,100.0,96.5,1,36,4,585,585,25.1,7,19,207,100.0,100.0,91.8,30,4,216,216
Dion Dawkins,11818,T,BUF,16,0,4,81.2,4,15,539,100.0,100.0,97.7,3,22,3,585,585,70.9,4,10,247,100.0,100.0,96.4,16,2,277,277
Frank Ragnow,39137,C,DET,16,0,11,63.6,7,11,564,100.0,100.0,98.0,4,20,2,583,583,44.0,5,9,210,100.0,100.0,96.2,15,1,217,217
Anton Harrison,122929,T,JAX,16,0,15,65.9,4,23,551,100.0,100.0,96.8,2,31,4,582,582,55.8,2,19,279,100.0,100.0,95.2,24,3,293,293
Connor McGovern,41714,C,BUF,16,0,4,68.9,0,24,537,100.0,100.0,97.8,0,24,0,581,581,48.6,0,20,247,100.0,100.0,96.0,20,0,276,276
Jermaine Eluemunor,11914,T,NYG,15,3,21,71.0,9,16,534,100.0,100.0,96.9,5,29,4,579,579,67.9,6,8,223,100.0,100.0,95.5,17,3,243,243
Tyler Linderbaum,82291,C,BLT,17,1,3,65.7,3,13,538,100.0,100.0,98.5,4,16,0,578,578,51.8,2,12,257,100.0,100.0,97.3,14,0,269,269
Daniel Faalele,81734,G,BLT,17,1,3,63.2,3,28,538,100.0,100.0,96.9,3,32,1,578,578,54.4,2,19,257,100.0,100.0,95.5,22,1,269,269
Kevin Zeitler,7032,G,DET,16,0,11,70.7,4,9,556,100.0,100.0,97.9,1,18,5,577,577,65.5,3,4,206,100.0,100.0,96.4,11,4,215,215
Kaleb McGary,46912,T,ATL,16,0,2,63.8,10,16,537,100.0,100.0,96.5,1,32,6,576,576,51.6,9,15,299,100.0,100.0,94.0,30,6,323,323
Ronnie Stanley,10640,T,BLT,17,1,3,79.6,4,29,535,100.0,100.0,96.5,5,35,2,575,575,83.7,3,16,257,100.0,100.0,96.3,19,0,269,269
Demontrey Jacobs,56619,T,NE,15,1,19,42.7,7,33,518,100.0,100.0,94.4,4,49,9,566,566,32.7,4,25,268,100.0,100.0,91.6,37,8,287,287
Elgton Jenkins,46298,G,GB,17,0,12,83.1,2,13,525,100.0,100.0,98.4,3,16,1,562,562,77.6,1,9,227,100.0,100.0,97.4,11,1,253,253
Rasheed Walker,81798,T,GB,17,1,12,79.6,4,28,525,100.0,100.0,96.4,4,35,3,562,562,71.2,1,17,227,100.0,100.0,94.7,21,3,253,253
Zach Tom,55443,T,GB,17,3,12,82.1,2,19,525,100.0,100.0,97.4,4,24,3,562,562,83.2,1,11,227,100.0,100.0,96.5,14,2,253,253
Tyler Biadasz,41178,C,WAS,15,1,32,64.8,0,13,525,100.0,100.0,98.6,1,14,1,561,561,51.3,0,10,211,100.0,100.0,97.6,10,0,228,228
Amarius Mims,146719,T,CIN,15,1,7,60.8,5,24,521,99.8,99.8,96.4,3,33,4,560,561,57.3,2,17,230,100.0,100.0,95.4,20,1,251,251
Ezra Cleveland,41973,G,JAX,15,0,15,67.8,3,11,527,100.0,100.0,97.9,1,18,4,558,558,49.8,3,11,262,100.0,100.0,95.8,18,4,275,275
Jack Conklin,10642,T,CLV,12,0,8,67.9,2,29,517,100.0,100.0,95.6,0,38,7,552,552,59.9,2,21,209,100.0,100.0,92.1,28,5,228,228
Zach Frazier,123419,C,PIT,15,2,25,66.6,2,9,514,100.0,100.0,98.7,2,12,1,548,548,57.5,1,6,203,100.0,100.0,97.8,8,1,219,219
Dillon Radunz,30551,G,TEN,15,0,31,63.9,2,15,508,100.0,100.0,97.1,2,23,6,547,547,48.1,1,12,248,100.0,100.0,95.0,19,6,272,272
Rashawn Slater,59971,T,LAC,15,2,27,90.4,7,12,508,100.0,100.0,97.5,5,22,3,547,547,85.4,4,5,229,100.0,100.0,97.2,11,2,244,244
Juice Scruggs,81800,C,HST,13,0,13,63.3,3,14,511,100.0,100.0,97.4,0,22,5,543,543,44.7,3,9,235,100.0,100.0,95.3,17,5,251,251
Luke Goedeke,77548,T,TB,13,1,30,75.8,0,14,508,100.0,100.0,98.0,2,17,3,542,542,68.8,0,8,243,100.0,100.0,97.1,11,3,263,263
Jon Runyan,36661,G,NYG,13,2,21,62.6,4,23,500,100.0,100.0,96.9,3,29,2,541,541,51.0,3,15,235,100.0,100.0,95.3,20,2,251,251
Taylor Moton,11819,T,CAR,14,1,5,80.6,2,11,506,100.0,100.0,98.5,1,14,1,538,538,72.8,1,8,214,100.0,100.0,97.4,10,1,234,234
Spencer Brown,42296,T,BUF,15,3,4,76.2,3,13,495,100.0,100.0,98.2,7,17,1,537,537,72.3,2,8,226,100.0,100.0,97.3,11,1,252,252
Mike McGlinchey,46275,T,DEN,13,1,10,74.5,1,14,509,100.0,100.0,97.9,1,18,3,534,534,72.9,0,11,211,100.0,100.0,96.0,14,3,224,224
Andrew Wylie,12333,T,WAS,14,1,32,62.7,3,23,502,99.8,99.6,97.4,2,26,0,532,534,57.5,3,14,203,100.0,100.0,95.8,17,0,217,217
Mason McCormick,78326,G,PIT,15,0,25,63.2,2,17,497,100.0,100.0,97.7,0,21,2,523,523,54.9,0,14,194,100.0,100.0,95.9,15,1,204,204
Trey Pipkins III,91462,G,LAC,15,2,27,49.7,2,21,482,100.0,100.0,96.4,4,29,6,521,521,44.1,1,12,220,100.0,100.0,94.8,18,5,234,234
Cam Jurgens,84014,C,PHI,16,2,24,56.5,1,20,488,100.0,100.0,97.0,4,25,4,519,519,54.6,1,14,256,100.0,100.0,95.5,19,4,268,268
Josh Myers,59992,C,GB,16,0,12,64.9,5,23,484,100.0,100.0,96.9,2,29,1,518,518,48.9,5,17,208,100.0,100.0,94.2,23,1,232,232
Patrick Mekari,46219,G,BLT,17,2,3,70.3,0,26,481,100.0,100.0,97.1,6,27,1,517,517,63.7,0,18,226,100.0,100.0,95.6,19,1,238,238
Luke Wattenberg,41024,C,DEN,13,3,10,82.0,2,4,487,100.0,100.0,99.0,5,8,2,515,515,71.3,2,2,202,100.0,100.0,98.0,6,2,215,215
Paris Johnson Jr.,129749,T,ARZ,14,1,1,78.1,2,17,483,100.0,100.0,97.2,5,23,4,515,515,69.9,1,12,183,100.0,100.0,94.8,16,3,197,197
Beaux Limmer,99067,C,LA,15,0,26,42.9,4,16,473,100.0,100.0,97.7,1,21,1,510,510,31.3,1,12,210,100.0,100.0,96.9,13,0,230,230
Alaric Jackson,40972,T,LA,14,1,26,79.5,4,15,466,100.0,100.0,97.3,1,22,3,502,502,72.1,2,12,205,100.0,100.0,95.6,16,2,224,224
Sean Rhyan,72009,G,GB,17,0,12,69.4,7,13,472,100.0,100.0,97.0,0,24,4,502,502,51.9,5,9,206,100.0,100.0,94.7,18,4,228,228
Terron Armstead,7856,T,MIA,15,0,17,84.8,2,11,475,100.0,100.0,98.0,2,16,3,501,501,67.7,1,7,127,100.0,100.0,94.5,11,3,136,136
Vederian Lowe,59741,T,NE,14,2,19,66.9,5,23,460,99.8,99.8,95.9,6,33,5,501,502,55.7,5,18,224,100.0,100.0,93.1,27,4,240,240
Landon Dickerson,41712,G,PHI,16,3,24,73.6,4,18,467,100.0,100.0,96.6,5,27,5,496,496,63.2,4,15,246,100.0,100.0,94.1,24,5,257,257
Teven Jenkins,41534,G,CHI,14,0,6,75.8,1,12,455,100.0,100.0,97.7,2,17,4,495,495,64.8,0,9,228,100.0,100.0,96.3,13,4,251,251
Taylor Decker,10650,T,DET,14,1,11,76.0,4,19,472,99.8,99.8,95.9,2,31,8,489,490,65.5,2,14,187,100.0,100.0,93.0,21,5,194,194
Roger Rosengarten,131912,T,BLT,16,1,3,70.0,1,24,457,100.0,100.0,96.4,1,29,4,488,488,70.0,1,20,216,100.0,100.0,93.7,24,3,222,222
Cesar Ruiz,59857,G,NO,13,0,20,67.5,2,10,445,100.0,100.0,98.4,1,13,1,477,477,62.8,1,8,203,100.0,100.0,97.3,10,1,219,219
Brandon Coleman,123068,T,WAS,16,2,32,63.5,2,19,441,99.5,99.6,95.6,3,30,9,473,475,50.3,0,15,181,100.0,100.0,92.5,21,6,195,195
Braxton Jones,60092,T,CHI,12,2,6,80.8,2,19,427,100.0,100.0,96.4,5,26,5,471,471,72.6,1,16,202,100.0,100.0,93.8,21,4,229,229
Aaron Banks,59983,G,SF,13,1,28,60.5,4,20,447,100.0,100.0,97.1,2,25,1,471,471,51.1,4,14,221,100.0,100.0,95.5,19,1,235,235
Bernhard Raimann,77948,T,IND,14,3,14,82.0,2,14,445,100.0,100.0,97.3,5,20,4,471,471,68.2,1,13,204,100.0,100.0,94.6,18,4,217,217
Isaac Seumalo,10713,G,PIT,13,1,25,63.0,1,23,444,100.0,100.0,96.8,1,26,2,468,468,53.5,1,19,181,100.0,100.0,93.9,21,1,191,191
Morgan Moses,8701,T,NYJ,14,2,22,69.2,2,12,433,100.0,100.0,97.9,5,16,2,467,467,61.5,1,9,151,100.0,100.0,96.7,10,0,165,165
Cody Ford,39805,T,CIN,12,0,7,50.2,8,24,431,99.5,99.6,95.1,1,37,5,464,466,47.7,6,17,183,100.0,100.0,91.5,27,4,202,202
Wanya Morris,98247,T,KC,14,2,16,55.4,7,23,427,99.8,99.8,95.3,5,35,5,453,454,41.8,5,19,201,100.0,100.0,91.5,29,5,213,213
Lane Johnson,7786,T,PHI,15,0,24,88.1,1,9,421,100.0,100.0,98.8,2,10,0,451,451,85.5,0,7,219,100.0,100.0,98.4,7,0,230,230
Mekhi Becton,59818,G,PHI,15,0,24,64.2,2,19,421,100.0,100.0,96.8,3,24,3,450,450,59.7,0,12,225,100.0,100.0,96.4,14,2,236,236
Andre James,47058,C,LV,11,0,23,65.4,1,14,418,100.0,100.0,97.7,2,17,2,448,448,62.3,1,9,209,100.0,100.0,96.7,12,2,223,223
Zack Martin,8651,G,DAL,10,1,9,62.0,1,18,408,100.0,100.0,96.4,1,24,5,447,447,52.2,1,15,206,100.0,100.0,94.2,20,4,229,229
Michael Jordan,28021,G,NE,11,0,19,60.4,3,17,405,100.0,100.0,96.8,1,23,3,441,441,46.1,3,14,212,100.0,100.0,94.6,20,3,225,225
Orlando Brown Jr.,46227,T,CIN,11,0,7,69.5,3,14,415,100.0,100.0,97.2,1,20,3,441,441,67.1,0,11,180,100.0,100.0,95.3,14,3,195,195
Ben Brown,59869,C,NE,10,0,19,47.3,2,10,403,100.0,100.0,97.5,2,16,4,440,440,39.6,1,9,196,100.0,100.0,96.4,12,2,211,211
Tyler Guyton,123076,T,DAL,14,4,9,60.2,6,14,402,100.0,100.0,96.0,12,26,6,439,439,57.6,4,10,182,100.0,100.0,92.9,20,6,202,202
Braden Smith,46794,T,IND,12,5,14,67.8,2,18,402,99.8,99.8,96.5,8,24,4,431,432,72.3,1,9,180,100.0,100.0,96.1,12,2,191,191
Connor Williams,46216,C,SEA,9,0,29,62.3,3,6,385,100.0,100.0,98.3,1,11,2,427,427,64.1,3,4,194,100.0,100.0,97.2,9,2,217,217
Kelvin Beachum,7229,T,ARZ,14,0,1,75.4,2,10,396,99.7,99.8,97.5,1,16,4,418,419,70.2,0,5,129,100.0,100.0,95.0,9,4,137,137
Jordan Mailata,66916,T,PHI,12,1,24,91.7,0,13,382,100.0,100.0,98.0,1,14,1,406,406,90.5,0,8,202,100.0,100.0,97.5,9,1,213,213
Jordan Meredith,60235,G,LV,9,0,23,75.7,1,8,374,100.0,100.0,98.8,0,9,0,399,399,69.4,1,4,168,100.0,100.0,98.5,5,0,177,177
Daniel Brunskill,34807,C,TEN,15,0,31,55.6,4,7,369,100.0,100.0,98.5,1,11,0,395,395,49.3,3,4,200,100.0,100.0,98.2,7,0,218,218
Anthony Bradford,99103,G,SEA,11,0,29,48.5,1,20,358,100.0,100.0,95.1,2,28,7,392,392,31.4,1,20,193,100.0,100.0,91.5,27,6,211,211
Tyron Smith,6161,T,NYJ,10,2,22,72.3,4,13,365,100.0,100.0,96.3,2,22,5,386,386,54.9,4,8,124,100.0,100.0,91.1,17,5,135,135
Trent Williams,5529,T,SF,10,1,28,84.5,3,13,358,100.0,100.0,97.5,3,17,1,381,381,82.4,0,8,173,100.0,100.0,97.1,9,1,187,187
Nicholas Petit-Frere,82003,T,TEN,11,2,31,42.8,5,26,347,100.0,100.0,92.7,2,41,10,373,373,39.0,3,18,178,100.0,100.0,89.0,30,9,192,192
Olumuyiwa Fashanu,129777,T,NYJ,11,0,22,59.4,4,18,348,100.0,100.0,96.6,5,23,1,372,372,40.1,3,13,111,100.0,100.0,91.9,17,1,119,119
Germain Ifedi,10665,T,CLV,10,1,8,52.9,5,19,348,100.0,100.0,95.4,3,28,4,369,369,60.6,3,11,149,100.0,100.0,94.0,16,2,160,160
Layden Robinson,99057,G,NE,11,1,19,41.9,6,23,340,100.0,100.0,94.6,2,33,4,366,366,31.6,2,16,158,100.0,100.0,92.4,21,3,170,170
Dawand Jones,101550,T,CLV,9,0,8,57.6,7,11,340,100.0,100.0,96.2,2,22,4,364,364,62.1,3,9,150,100.0,100.0,95.3,13,1,162,162
Rob Havenstein,9490,T,LA,11,1,26,66.9,5,12,336,100.0,100.0,96.6,1,20,3,361,361,55.2,4,11,153,100.0,100.0,93.1,18,3,167,167
Jarrett Patterson,81775,C,HST,10,0,13,69.9,3,6,342,100.0,100.0,97.8,1,12,3,356,356,63.8,2,5,158,100.0,100.0,96.5,9,2,167,167
Kenyon Green,99052,G,HST,11,1,13,39.7,4,19,328,100.0,100.0,95.0,3,28,5,350,350,19.9,3,16,155,100.0,100.0,91.3,23,4,165,165
Ryan Neuzil,41123,C,ATL,10,0,2,63.6,2,7,321,100.0,100.0,98.3,0,10,1,346,346,55.5,1,5,181,100.0,100.0,98.3,6,0,194,194
Dalton Risner,47008,G,MIN,8,0,18,76.2,1,15,320,100.0,100.0,97.5,0,16,0,345,345,73.0,1,11,175,100.0,100.0,96.6,12,0,188,188
Steve Avila,77319,G,LA,10,0,26,50.6,7,7,327,100.0,100.0,96.9,1,17,3,345,345,50.5,4,3,142,100.0,100.0,96.1,9,2,150,150
