player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Craig James,26360,CB,NYJ,1,5,,5.0,22,0,39.6,0,1,0,0,0,0.0
Parry Nickerson,50511,CB,MIA,3,42,42.0,14.0,17,0,42.4,1,3,0,6,1,0.14
Percy Butler,83271,S,WAS,14,84,42.0,21.0,32,0,56.3,2,4,0,10,1,0.12
Andre Chachere,51194,S,ARZ,10,77,38.5,12.8,1,0,43.8,2,6,0,20,8,0.26
Darrick Forrest,55087,S,WAS,5,27,27.0,13.5,32,0,56.3,1,2,0,2,4,0.07
Tyrel Dodson,51045,LB,BUF,11,27,27.0,27.0,4,0,87.5,1,1,0,5,-1,0.19
Eddie Jackson,11867,S,CHI,11,50,25.0,16.7,6,0,88.2,2,3,0,22,17,0.44
Elijah Hicks,55584,S,CHI,7,25,25.0,12.5,6,0,95.8,1,2,1,3,0,0.12
Terrell Edmunds,51334,S,TEN,13,48,24.0,8.0,31,0,54.9,2,6,0,36,0,0.75
Alex Highsmith,43507,ED,PIT,11,24,24.0,12.0,25,1,16.7,1,2,0,0,3,0.0
Rodney Thomas II,108389,S,IND,13,43,21.5,21.5,14,0,158.3,2,2,1,49,23,1.14
Nick Cross,97514,S,IND,8,21,21.0,10.5,14,0,56.3,1,2,0,2,0,0.1
Jordan Whitehead,49196,S,NYJ,17,124,20.7,12.4,22,1,97.9,6,10,1,140,94,1.13
Ji'Ayir Brown,129767,S,SF,9,41,20.5,8.2,28,1,49.6,2,5,2,17,0,0.41
Donovan Wilson,49408,S,DAL,15,61,20.3,15.3,9,1,67.7,3,4,0,41,26,0.67
Kendall Fuller,10718,CB,WAS,10,20,20.0,10.0,32,0,60.4,1,2,0,8,-1,0.4
DeMarcco Hellams,98863,S,ATL,7,20,20.0,6.7,2,0,42.4,1,3,0,1,2,0.05
DeAndre Houston-Carson,10819,S,HST,10,39,19.5,9.8,13,0,56.3,2,4,0,9,1,0.23
Tashaun Gipson Sr.,7288,S,SF,16,134,19.1,12.2,28,0,68.0,7,11,0,34,36,0.25
Eric Wilson,38587,LB,GB,5,19,19.0,19.0,12,0,95.8,1,1,0,7,6,0.37
Tyson Campbell,83217,CB,JAX,7,19,19.0,19.0,15,0,118.8,1,1,0,14,7,0.74
Jaquan Brisker,101665,S,CHI,15,74,18.5,9.3,6,0,76.0,4,8,0,62,7,0.84
Jalen Pitre,57737,S,HST,14,54,18.0,9.0,13,0,123.6,3,6,1,58,3,1.07
Patrick Peterson,6157,CB,PIT,16,139,17.4,8.7,25,1,47.7,8,16,0,115,68,0.83
P.J. Locke,51189,S,DEN,10,52,17.3,6.5,10,0,67.7,3,8,0,66,32,1.27
Mekhi Blackmon,83036,CB,MIN,10,17,17.0,17.0,18,0,158.3,1,1,1,21,1,1.24
Leighton Vander Esch,50950,LB,DAL,5,17,17.0,17.0,9,0,104.2,1,1,0,9,2,0.53
Robert Spillane,50918,LB,LV,15,34,17.0,11.3,23,0,92.4,2,3,0,25,16,0.74
Bryan Cook,55940,S,KC,12,82,16.4,10.3,16,0,140.6,5,8,1,90,52,1.1
Isaiah Simmons,42451,LB,NYG,15,49,16.3,16.3,21,0,108.3,3,3,0,30,26,0.61
De'Vondre Campbell,10749,LB,GB,11,81,16.2,10.1,12,0,88.0,5,8,0,65,22,0.8
Myles Jack,10670,LB,PIT,3,16,16.0,16.0,25,0,91.7,1,1,0,6,4,0.38
Brandon Stephens,45644,CB,BLT,8,16,16.0,8.0,3,0,89.6,1,2,0,22,4,1.38
Zaven Collins,77190,ED,ARZ,8,16,16.0,8.0,1,0,79.2,1,2,0,17,2,1.06
Joey Porter Jr.,101364,CB,PIT,8,32,16.0,16.0,25,0,106.3,2,2,0,19,4,0.59
Budda Baker,11791,S,ARZ,12,48,16.0,9.6,1,0,125.8,3,5,2,41,10,0.85
Dee Delaney,31078,S,TB,10,63,15.8,10.5,30,0,116.7,4,6,1,28,16,0.44
Cam Taylor-Britt,83326,CB,CIN,9,31,15.5,6.2,7,0,95.8,2,5,1,25,4,0.81
Bobby Wagner,7050,LB,SEA,14,46,15.3,11.5,29,0,100.0,3,4,0,34,25,0.74
Jessie Bates III,49162,S,ATL,17,76,15.2,8.4,2,1,80.6,5,9,1,75,14,0.99
Jalen Thompson,49116,S,ARZ,15,240,15.0,10.0,1,1,93.4,16,24,2,146,57,0.61
Justin Reid,49048,S,KC,16,149,14.9,7.8,16,1,42.4,10,19,0,84,46,0.56
Rayshawn Jenkins,11868,S,JAX,17,131,14.6,10.1,15,0,93.8,9,13,0,106,37,0.81
Fabian Moreau,11836,CB,DEN,12,29,14.5,14.5,10,0,91.7,2,2,0,12,16,0.41
Michael Carter II,60644,CB,NYJ,15,359,14.4,7.8,22,0,72.3,25,46,1,195,120,0.54
Ifeatu Melifonwu,56203,S,DET,9,57,14.3,11.4,11,0,135.4,4,5,1,35,17,0.61
Antoine Winfield Jr.,42475,S,TB,17,85,14.2,10.6,30,0,150.5,6,8,1,89,45,1.05
Jordan Hicks,9517,LB,MIN,8,14,14.0,14.0,18,0,87.5,1,1,0,5,1,0.36
Talanoa Hufanga,83903,S,SF,10,42,14.0,14.0,28,0,90.3,3,3,0,17,12,0.4
Jaire Alexander,49350,CB,GB,6,14,14.0,14.0,12,0,118.8,1,1,0,18,10,1.29
Mike Hughes,34057,CB,ATL,9,138,13.8,8.6,2,0,100.5,10,16,1,98,33,0.71
Vonn Bell,10695,S,CAR,13,55,13.8,9.2,5,0,75.7,4,6,0,26,25,0.47
Justin Simmons,10732,S,DEN,14,82,13.7,8.2,10,0,117.9,6,10,3,63,0,0.77
Jason Pinnock,56144,S,NYG,16,81,13.5,8.1,21,0,111.7,6,10,2,48,33,0.59
Tony Adams,55953,S,NYJ,15,148,13.5,9.9,22,2,64.4,11,15,0,147,27,0.99
Taylor Rapp,51172,S,BUF,11,54,13.5,9.0,4,0,93.1,4,6,0,51,16,0.94
Dax Hill,97519,S,CIN,17,133,13.3,7.0,7,0,106.5,10,19,2,116,64,0.87
Minkah Fitzpatrick,51206,S,PIT,10,80,13.3,6.2,25,0,57.5,6,13,0,53,27,0.66
Jordan Poyer,8000,S,BUF,16,132,13.2,10.2,4,0,119.7,10,13,1,87,27,0.66
Michael Davis,12040,CB,LAC,7,13,13.0,6.5,27,0,68.8,1,2,0,12,17,0.92
Elijah Campbell,49190,S,MIA,5,13,13.0,13.0,17,0,104.2,1,1,0,9,3,0.69
Adrian Phillips,9177,S,NE,8,13,13.0,13.0,19,0,79.2,1,1,0,2,-2,0.15
Cameron Sutton,11850,CB,DET,12,26,13.0,6.5,11,0,95.8,2,4,0,60,33,2.31
Drew Sanders,123933,LB,DEN,7,13,13.0,13.0,10,0,104.2,1,1,0,9,15,0.69
Nate Landman,57788,LB,ATL,12,39,13.0,7.8,2,0,102.1,3,5,0,60,45,1.54
Jalen Mills,10867,S,NE,17,103,12.9,6.9,19,0,62.1,8,15,0,56,56,0.54
Kerby Joseph,83239,S,DET,15,139,12.6,6.3,11,2,37.7,11,22,0,168,71,1.21
Antonio Hamilton Sr.,11353,CB,ARZ,7,50,12.5,10.0,1,0,90.0,4,5,0,28,37,0.56
Anthony Johnson Jr.,76736,S,GB,6,25,12.5,8.3,12,0,79.9,2,3,0,16,15,0.64
Cobie Durant,79126,CB,LA,11,234,12.3,9.0,26,0,104.3,19,26,0,258,80,1.1
DaRon Bland,56158,CB,DAL,13,74,12.3,5.7,9,2,16.0,6,13,0,47,42,0.64
Grant Delpit,60685,S,CLV,13,121,12.1,11.0,8,0,107.6,10,11,0,108,53,0.89
Jeremy Chinn,43179,S,CAR,12,85,12.1,9.4,5,0,147.2,7,9,1,94,63,1.11
Marshon Lattimore,11766,CB,NO,7,12,12.0,6.0,20,0,95.8,1,2,0,34,16,2.83
Jalyn Armour-Davis,83120,CB,BLT,2,12,12.0,12.0,3,0,112.5,1,1,0,11,7,0.92
Jaylen Watson,131960,CB,KC,8,12,12.0,12.0,16,0,79.2,1,1,0,0,3,0.0
Malik Hooker,11770,S,DAL,12,24,12.0,12.0,9,0,118.8,2,2,0,50,27,2.08
Jamien Sherwood,83175,LB,NYJ,8,12,12.0,12.0,22,0,100.0,1,1,0,8,1,0.67
Jay Ward,98833,S,MIN,2,12,12.0,12.0,18,0,158.3,1,1,1,25,22,2.08
Carrington Valentine,53750,CB,GB,8,12,12.0,6.0,12,0,60.4,1,2,0,8,0,0.67
Ugo Amadi,49352,CB,NO,7,36,12.0,6.0,20,0,56.3,3,6,0,16,25,0.44
Eric Murray,10740,S,HST,4,12,12.0,6.0,13,0,89.6,1,2,0,22,10,1.83
Jamel Dean,34918,CB,TB,11,23,11.5,11.5,30,0,158.3,2,2,1,82,43,3.57
Markquese Bell,56033,LB,DAL,14,46,11.5,6.6,9,0,80.1,4,7,0,51,51,1.11
A.J. Parker,55983,CB,CAR,1,23,11.5,11.5,5,0,95.8,2,2,0,14,5,0.61
E.J. Speed,94351,LB,IND,16,80,11.4,7.3,14,0,68.0,7,11,0,34,16,0.43
Eric Garror,83274,CB,TEN,6,79,11.3,5.6,31,0,81.0,7,14,1,45,11,0.57
Micah Hyde,7941,S,BUF,14,124,11.3,8.3,4,0,148.6,11,15,2,165,37,1.33
Nick Scott,49012,S,CIN,12,56,11.2,8.0,7,0,148.2,5,7,1,79,23,1.41
Tre'von Moehrig,77847,S,LV,17,100,11.1,8.3,23,0,146.2,9,12,2,121,87,1.21
D.J. Reed,26940,CB,NYJ,7,11,11.0,11.0,22,0,118.8,1,1,0,35,8,3.18
Jerry Jacobs,83025,CB,DET,7,11,11.0,11.0,11,0,87.5,1,1,0,5,1,0.45
Justin Evans,11805,S,PHI,3,22,11.0,4.4,24,0,99.2,2,5,1,29,16,1.32
Jordan Fuller,45326,S,LA,17,87,10.9,5.8,26,0,69.6,8,15,0,83,57,0.95
Jamin Davis,57905,LB,WAS,13,54,10.8,7.7,32,0,93.8,5,7,0,54,38,1.0
Elijah Molden,56290,S,TEN,15,119,10.8,8.5,31,0,106.0,11,14,1,52,60,0.44
Patrick Queen,57941,LB,BLT,17,74,10.6,7.4,3,0,88.3,7,10,0,67,25,0.91
Kyle Hamilton,102684,S,BLT,15,265,10.6,5.8,3,1,58.1,25,46,1,126,99,0.48
Jamal Adams,11761,S,SEA,9,106,10.6,7.6,29,0,87.8,10,14,0,88,31,0.83
Chandon Sullivan,49349,CB,PIT,17,199,10.5,7.1,25,1,84.1,19,28,1,191,68,0.96
Daryl Worley,10711,S,BLT,3,21,10.5,7.0,3,0,82.6,2,3,0,18,11,0.86
Tyrique Stevenson,97562,CB,CHI,10,21,10.5,10.5,6,0,118.8,2,2,0,47,16,2.24
Cam Lewis,49395,S,BUF,9,42,10.5,7.0,4,0,97.2,4,6,0,57,7,1.36
Ja'Sir Taylor,55426,CB,LAC,13,301,10.4,6.4,27,1,74.5,29,47,0,337,168,1.12
Devon Witherspoon,101388,CB,SEA,12,260,10.4,7.2,29,1,84.8,25,36,1,235,131,0.9
Essang Bassey,45258,CB,LAC,11,185,10.3,8.4,27,0,121.6,18,22,1,210,138,1.14
Rudy Ford,11963,S,GB,9,62,10.3,4.8,12,1,49.8,6,13,1,49,27,0.79
Andrew Van Ginkel,30267,ED,MIA,14,41,10.3,6.8,17,0,75.7,4,6,0,26,6,0.63
Terrel Bernard,57739,LB,BUF,14,31,10.3,10.3,4,0,101.4,3,3,0,25,32,0.81
Taron Johnson,49511,CB,BUF,17,474,10.3,7.6,4,0,103.6,46,62,3,351,193,0.74
Justin Bethel,7654,CB,MIA,7,61,10.2,8.7,17,0,137.8,6,7,2,53,19,0.87
Zach Cunningham,11812,LB,PHI,12,51,10.2,5.7,24,0,116.0,5,9,1,66,50,1.29
Martin Emerson Jr.,97872,CB,CLV,5,10,10.0,10.0,8,0,87.5,1,1,0,5,0,0.5
Johnathan Abram,34646,S,NO,6,20,10.0,10.0,20,0,118.8,2,2,0,53,49,2.65
Kevon Seymour,10852,CB,BLT,2,10,10.0,5.0,3,0,56.3,1,2,0,1,2,0.1
Micah McFadden,81246,LB,NYG,8,10,10.0,10.0,21,0,95.8,1,1,0,7,10,0.7
Devin White,43089,LB,TB,12,20,10.0,10.0,30,0,100.0,2,2,0,16,7,0.8
Shaun Wade,55673,CB,NE,9,20,10.0,10.0,19,0,110.4,2,2,0,21,1,1.05
Jevon Holland,83873,S,MIA,12,79,9.9,7.2,17,0,83.1,8,11,0,54,32,0.68
Bradley Roby,8666,CB,PHI,9,198,9.9,5.8,24,0,68.1,20,34,0,139,90,0.7
Roquan Smith,50892,LB,BLT,15,39,9.8,7.8,3,0,80.8,4,5,0,17,24,0.44
Danny Johnson,49379,CB,WAS,6,127,9.8,7.5,32,0,157.1,13,17,2,214,159,1.69
Kamren Curl,55800,S,WAS,16,117,9.8,6.5,32,0,112.0,12,18,1,155,69,1.32
Xavier McKinney,55775,S,NYG,17,98,9.8,7.5,21,2,54.2,10,13,0,86,99,0.88
Marcus Williams,11797,S,BLT,10,78,9.8,7.1,3,0,134.1,8,11,3,84,62,1.08
Kader Kohou,156070,CB,MIA,15,393,9.8,8.7,17,0,128.1,40,45,4,343,167,0.87
Lavonte David,7060,LB,TB,14,68,9.7,6.2,30,0,87.3,7,11,0,85,50,1.25
Ja'Quan McMillian,100931,CB,DEN,15,385,9.6,5.9,10,2,109.7,40,65,8,461,256,1.2
Arthur Maulet,12224,CB,BLT,14,249,9.6,5.9,3,1,88.1,26,42,1,367,230,1.47
Garrett Williams,99723,CB,ARZ,9,191,9.6,6.8,1,1,82.3,20,28,1,159,99,0.83
Antonio Johnson,124326,CB,JAX,8,76,9.5,6.3,15,1,41.0,8,12,0,52,32,0.68
Andrew Wingard,49268,S,JAX,8,19,9.5,9.5,15,0,112.5,2,2,0,22,4,1.16
Christian Izien,83360,CB,TB,17,381,9.5,7.3,30,2,101.3,40,52,3,398,244,1.04
Marcus Epps,51391,S,LV,16,76,9.5,8.4,23,0,113.9,8,9,0,102,69,1.34
Russ Yeast,55629,S,LA,16,123,9.5,6.2,26,0,112.3,13,20,1,189,97,1.54
Brian Branch,123907,CB,DET,15,346,9.4,6.1,11,2,97.2,37,57,5,361,172,1.04
Stephon Gilmore,7016,CB,DAL,14,37,9.3,5.3,9,0,105.4,4,7,1,27,9,0.73
Xavier Woods,11946,S,CAR,14,74,9.3,6.7,5,2,45.5,8,11,0,59,45,0.8
Harrison Smith,7641,S,MIN,17,102,9.3,5.4,18,0,70.1,11,19,0,90,69,0.88
Damontae Kazee,11904,S,PIT,12,37,9.3,6.2,25,0,149.3,4,6,2,108,25,2.92
Greg Newsome II,83341,CB,CLV,13,233,9.3,6.0,8,0,86.3,25,39,1,208,131,0.89
Darnell Savage,34247,S,GB,10,46,9.2,7.7,12,0,86.1,5,6,0,28,18,0.61
Trent McDuffie,72191,CB,KC,16,302,9.2,6.7,16,0,109.7,33,45,2,342,115,1.13
Benjamin St-Juste,56061,CB,WAS,16,229,9.2,6.4,32,0,99.2,25,36,1,259,144,1.13
DeShon Elliott,28854,S,MIA,14,64,9.1,6.4,17,0,112.5,7,10,2,27,16,0.42
Byron Murphy Jr.,44027,CB,MIN,14,181,9.1,6.2,18,1,124.1,20,29,3,309,164,1.71
Cameron Mitchell,97340,CB,CLV,13,146,9.1,6.6,8,0,92.0,16,22,0,155,75,1.06
Jimmie Ward,8665,S,HST,10,117,9.0,7.3,13,1,69.3,13,16,0,110,65,0.94
Chris Lammons,49368,CB,IND,1,36,9.0,6.0,14,0,86.1,4,6,0,41,15,1.14
Nic Jones,97327,CB,KC,1,36,9.0,7.2,16,0,103.3,4,5,0,44,18,1.22
Paulson Adebo,52280,CB,NO,13,27,9.0,3.4,20,0,46.4,3,8,0,25,0,0.93
Cam Jones,81244,LB,KC,1,9,9.0,9.0,16,0,100.0,1,1,0,8,-1,0.89
Sione Takitaki,12666,LB,CLV,5,9,9.0,3.0,8,1,2.8,1,3,0,6,0,0.67
Andrew Booth Jr.,99744,CB,MIN,5,9,9.0,9.0,18,0,100.0,1,1,0,8,5,0.89
Rodney McLeod,7271,S,CLV,9,27,9.0,5.4,8,0,71.3,3,5,0,23,18,0.85
Asante Samuel Jr.,76625,CB,LAC,3,18,9.0,6.0,27,0,109.7,2,3,0,43,18,2.39
Amani Hooker,51378,S,TEN,13,188,9.0,7.2,31,1,135.3,21,26,3,288,146,1.53
Eli Ricks,124109,CB,PHI,12,107,8.9,5.1,24,0,96.9,12,21,1,158,74,1.48
Kyler Gordon,83451,CB,CHI,13,339,8.9,6.3,6,2,83.6,38,54,2,336,153,0.99
Myles Bryant,43336,CB,NE,17,372,8.9,6.9,19,1,102.0,42,54,2,398,198,1.07
Richie Grant,43196,S,ATL,17,107,8.9,5.9,2,0,110.2,12,18,1,147,31,1.37
Azeez Al-Shaair,49792,LB,TEN,13,35,8.8,7.0,31,0,91.7,4,5,0,30,19,0.86
Kenneth Murray Jr.,58099,LB,LAC,14,44,8.8,6.3,27,0,100.3,5,7,0,65,20,1.48
Grayland Arnold,43528,CB,HST,4,70,8.8,7.0,13,0,95.4,8,10,0,69,32,0.99
Derwin James Jr.,51368,S,LAC,16,150,8.8,7.1,27,0,128.2,17,21,1,230,109,1.53
Tracy Walker III,51266,S,DET,11,70,8.8,6.4,11,0,122.3,8,11,3,53,16,0.76
Trenton Thompson,43455,S,PIT,5,26,8.7,5.2,25,1,32.5,3,5,0,24,16,0.92
John Johnson III,11847,S,LA,11,52,8.7,5.8,26,0,116.0,6,9,1,46,13,0.88
Jourdan Lewis,11846,CB,DAL,16,383,8.7,6.1,9,0,115.0,44,63,4,508,243,1.33
Andre Cisco,76641,S,JAX,12,52,8.7,6.5,15,0,153.1,6,8,1,94,54,1.81
Byron Young,146932,ED,LA,14,26,8.7,6.5,26,0,81.3,3,4,0,16,11,0.62
Artie Burns,10659,CB,SEA,8,139,8.7,6.6,29,0,99.3,16,21,0,170,98,1.22
Quay Walker,82547,LB,GB,13,26,8.7,8.7,12,0,100.0,3,3,0,24,7,0.92
Kenny Moore II,51596,CB,IND,16,429,8.6,6.8,14,2,96.3,50,63,3,408,264,0.95
Marcus Maye,11794,S,NO,7,43,8.6,6.1,20,1,55.4,5,7,0,56,55,1.3
Deommodore Lenoir,55686,CB,SF,13,237,8.5,6.4,28,1,97.7,28,37,1,309,200,1.3
Jayron Kearse,10878,S,DAL,16,119,8.5,6.6,9,0,96.3,14,18,0,128,46,1.08
Nick McCloud,49535,CB,NYG,9,17,8.5,5.7,21,0,112.5,2,3,1,11,6,0.65
Dennis Gardeck,66928,ED,ARZ,15,34,8.5,5.7,1,0,70.1,4,6,0,13,26,0.38
James Bradberry,10696,CB,PHI,12,93,8.5,6.2,24,0,121.2,11,15,1,129,36,1.39
Darius Rush,84416,CB,PIT,2,17,8.5,8.5,25,0,118.8,2,2,0,35,6,2.06
Ernest Jones,81399,LB,LA,11,34,8.5,5.7,26,0,91.7,4,6,0,49,37,1.44
Mike Hilton,10898,CB,CIN,17,396,8.4,6.0,7,1,81.9,47,66,0,424,222,1.07
Tyler Hall,43958,CB,LV,8,84,8.4,6.5,23,0,114.3,10,13,1,70,55,0.83
K'Von Wallace,42467,S,TEN,12,84,8.4,5.3,31,1,76.6,10,16,1,106,46,1.26
Carlton Davis III,49335,CB,TB,11,33,8.3,4.7,30,0,90.8,4,7,0,69,30,2.09
Derrick Barnes,58120,LB,DET,12,33,8.3,8.3,11,0,118.8,4,4,0,94,90,2.85
Jabrill Peppers,11780,S,NE,15,75,8.3,5.4,19,1,42.3,9,14,0,55,44,0.73
Mike Edwards,51282,S,KC,15,66,8.3,6.0,16,0,108.1,8,11,0,120,31,1.82
Germaine Pratt,29407,LB,CIN,15,50,8.3,7.1,7,0,97.0,6,7,0,51,36,1.02
Julian Love,51081,S,SEA,16,106,8.2,5.0,29,2,74.4,13,21,1,224,79,2.11
Quentin Lake,56245,CB,LA,14,245,8.2,5.6,26,0,93.9,30,44,2,210,81,0.86
Nik Needham,50356,CB,MIA,9,49,8.2,6.1,17,0,87.5,6,8,0,44,13,0.9
Roger McCreary,83176,CB,TEN,15,351,8.2,5.9,31,0,90.2,43,59,0,388,247,1.11
Nicholas Morrow,51674,LB,PHI,14,73,8.1,5.2,24,0,102.7,9,14,0,158,72,2.16
Tyrann Mathieu,7850,S,NO,15,57,8.1,4.1,20,1,65.5,7,14,1,93,82,1.63
Joe Tryon-Shoyinka,58272,ED,TB,7,8,8.0,8.0,30,0,104.2,1,1,0,9,5,1.13
Isaiah McDuffie,57754,LB,GB,10,56,8.0,7.0,12,0,105.2,7,8,0,74,47,1.32
Terrell Burgess,45255,S,WAS,3,16,8.0,8.0,32,0,118.8,2,2,0,32,10,2.0
Isaiah Pola-Mao,60781,S,LV,3,8,8.0,4.0,23,0,56.3,1,2,0,2,2,0.25
Kaevon Merriweather,83257,S,TB,4,8,8.0,8.0,30,0,79.2,1,1,0,1,7,0.13
Corey Ballentine,83833,CB,GB,5,8,8.0,2.0,12,1,0.0,1,4,0,6,0,0.75
Miles Killebrew,10745,S,PIT,7,24,8.0,4.8,25,0,97.9,3,5,0,55,7,2.29
C.J. Gardner-Johnson,49371,S,DET,3,16,8.0,8.0,11,0,97.9,2,2,0,15,2,0.94
C.J. Mosley,8652,LB,NYJ,14,24,8.0,8.0,22,0,111.1,3,3,0,32,20,1.33
Marte Mapu,56159,S,NE,7,24,8.0,6.0,19,0,116.7,3,4,0,64,56,2.67
Ronnie Hickman Jr.,97702,S,CLV,7,16,8.0,8.0,8,0,79.2,2,2,0,3,7,0.19
Amik Robertson,55619,CB,LV,10,63,7.9,4.5,23,0,98.8,8,14,1,85,59,1.35
Keisean Nixon,56167,CB,GB,17,429,7.9,6.3,12,1,98.2,54,68,1,535,267,1.25
Alex Singleton,9994,LB,DEN,17,55,7.9,5.5,10,0,78.3,7,10,0,43,31,0.78
Geno Stone,55967,S,BLT,17,79,7.9,5.6,3,1,61.0,10,14,0,98,53,1.24
Kaden Elliss,51485,LB,ATL,15,55,7.9,6.1,2,0,91.2,7,9,0,53,50,0.96
Quan Martin,83236,S,WAS,12,119,7.9,6.3,32,1,123.9,15,19,2,201,118,1.69
Cor'Dale Flott,98834,CB,NYG,14,279,7.8,5.0,21,1,93.5,36,56,3,368,253,1.32
J.C. Jackson,42781,CB,NE,10,31,7.8,4.4,19,0,101.5,4,7,0,87,40,2.81
Tre Herndon,50380,CB,JAX,15,320,7.8,6.2,15,0,121.6,41,52,3,446,235,1.39
Coby Bryant,55088,S,SEA,5,46,7.7,6.6,29,0,102.4,6,7,0,60,19,1.3
Darius Slay,7817,CB,PHI,8,23,7.7,3.8,24,0,84.0,3,6,0,58,27,2.52
Zaire Franklin,49834,LB,IND,15,46,7.7,5.8,14,0,149.0,6,8,1,86,48,1.87
Logan Wilson,29623,LB,CIN,15,54,7.7,5.4,7,0,122.5,7,10,1,69,23,1.28
Jalen Davis,50431,CB,CIN,6,23,7.7,4.6,7,0,122.5,3,5,1,37,3,1.61
Jordyn Brooks,50851,LB,SEA,15,53,7.6,5.9,29,0,97.2,7,9,0,66,46,1.25
Jeremiah Owusu-Koramoah,58089,LB,CLV,10,30,7.5,5.0,8,0,72.9,4,6,0,22,29,0.73
DJ Turner II,101376,CB,CIN,16,45,7.5,4.1,7,0,94.5,6,11,0,124,53,2.76
Alex Anzalone,11831,LB,DET,16,82,7.5,5.9,11,0,90.2,11,14,0,79,24,0.96
Kevin Byard,10698,S,PHI,16,158,7.5,5.9,24,0,108.6,21,27,1,192,81,1.22
Mykal Walker,57834,LB,PIT,7,30,7.5,6.0,25,0,100.8,4,5,0,41,22,1.37
David Long Jr.,29367,LB,MIA,17,126,7.4,6.0,17,0,105.4,17,21,0,195,84,1.55
Juanyeh Thomas,76655,S,DAL,8,29,7.3,4.1,9,0,103.6,4,7,1,24,22,0.83
Troy Hill,9881,CB,CAR,16,238,7.2,5.0,5,1,108.8,33,48,4,349,199,1.47
Jordan Howden,83305,S,NO,11,43,7.2,6.1,20,0,101.8,6,7,0,59,14,1.37
Theo Jackson,62919,S,MIN,8,36,7.2,7.2,18,0,91.7,5,5,0,30,14,0.83
Christian Elliss,61853,LB,NE,3,7,7.0,7.0,19,0,118.8,1,1,0,25,14,3.57
Demetrius Flannigan-Fowles,49231,LB,SF,4,7,7.0,3.5,28,0,56.3,1,2,0,5,9,0.71
Yetur Gross-Matos,56444,ED,CAR,6,7,7.0,7.0,5,0,104.2,1,1,0,9,0,1.29
Chidobe Awuzie,11815,CB,CIN,14,42,7.0,6.0,7,0,152.7,6,7,1,78,31,1.86
Drue Tranquill,51276,LB,KC,9,14,7.0,7.0,16,0,91.7,2,2,0,12,12,0.86
Mike Brown,56054,S,TEN,3,14,7.0,4.7,31,0,88.2,2,3,0,22,31,1.57
Bradley Chubb,48526,ED,MIA,8,7,7.0,7.0,17,0,79.2,1,1,0,-4,-1,-0.57
Brandon Jones,43049,S,MIA,9,21,7.0,7.0,17,0,83.3,3,3,0,12,4,0.57
Will Harris,51336,CB,DET,7,77,7.0,5.1,11,1,74.3,11,15,0,140,42,1.82
