,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
83,Brian Robinson,WAS,RB,90.50,83.30,104.87,83.77,89.33,98.20,85.40,101.80,8.41,3.33,,
84,Deebo Samuel,WAS,WR,74.81,84.90,108.79,96.41,83.23,108.80,108.00,129.20,9.77,2.81,,
85,Cooper Kupp,SEA,WR,89.73,85.40,92.48,103.19,94.68,116.80,113.60,140.80,10.41,4.30,,
86,David Njoku,CLE,TE,107.41,86.10,80.12,86.76,109.62,105.90,109.00,116.40,6.50,3.56,,
87,Tyrone Tracy,NYG,RB,89.42,87.10,99.20,83.65,90.27,106.00,82.30,112.00,8.24,3.62,,
88,Jared Goff,DET,QB,106.55,87.40,126.38,57.13,89.53,54.40,140.50,66.50,8.51,2.18,,
89,Stefon Diggs,NE,WR,87.03,89.00,97.43,92.67,92.74,119.40,122.30,143.10,10.63,3.82,Ques,Knee - ACL
90,Tyler Warren,IND,TE,106.96,90.00,123.82,40.88,114.78,86.50,54.50,58.40,9.72,2.03,,
91,Khalil Shakir,BUF,WR,92.19,91.60,118.29,111.56,89.00,115.10,101.30,111.00,4.86,1.64,Ques,Ankle
92,Chris Godwin,TB,WR,119.77,92.30,102.12,106.11,77.42,100.90,103.60,113.60,7.57,3.43,PUP-P,Ankle
93,Travis Etienne,JAX,RB,98.83,93.70,128.62,90.53,99.81,101.50,87.30,110.80,8.58,1.75,,
94,Kyler Murray,ARI,QB,92.55,94.90,91.15,50.48,91.92,44.30,114.30,47.30,10.76,4.03,,
95,Matthew Golden,GB,WR,101.27,95.50,99.24,44.50,105.31,107.60,71.70,83.10,18.46,3.49,,
96,Jaylen Warren,PIT,RB,91.96,95.90,106.04,90.74,98.34,111.00,116.20,135.80,5.91,2.55,,
97,Jauan Jennings,SF,WR,90.44,98.30,121.75,103.68,80.41,110.10,123.50,135.20,7.60,1.62,Ques,Calf
98,Cam Skattebo,NYG,RB,103.70,99.60,126.77,53.10,119.34,114.30,76.50,91.10,10.52,1.79,Ques,Hamstring
99,Ricky Pearsall,SF,WR,100.02,100.30,118.57,94.15,84.38,103.20,87.90,95.80,3.01,2.21,,
100,Emeka Egbuka,TB,WR,98.18,101.90,126.47,40.63,93.40,117.80,58.30,69.40,25.80,2.35,,
101,Jonnu Smith,PIT,TE,163.27,102.20,166.41,155.49,136.79,113.30,127.20,133.10,2.70,0.16,Ques,Knee
102,Justin Herbert,LAC,QB,115.52,103.40,105.57,69.36,108.21,42.60,83.20,28.30,10.52,2.77,,
103,Jayden Reed,GB,WR,113.47,103.80,131.94,117.64,94.85,119.10,93.40,107.70,2.94,1.15,Ques,Foot
104,Colston Loveland,CHI,TE,128.92,105.80,124.28,46.15,149.03,109.00,66.80,68.70,7.67,1.53,,
105,Jordan Mason,MIN,RB,105.11,106.80,140.72,109.57,107.57,125.00,133.40,146.90,8.26,1.56,,
106,Brock Purdy,SF,QB,105.41,107.90,93.26,64.32,100.47,52.20,125.80,50.40,7.86,3.45,,
107,Javonte Williams,DAL,RB,116.00,108.80,119.79,106.80,118.35,128.00,134.00,145.80,10.55,1.85,,
108,Josh Downs,IND,WR,120.35,109.80,140.32,121.43,97.41,124.10,100.90,108.10,3.48,0.98,Ques,Hamstring
109,Dalton Kincaid,BUF,TE,131.65,110.80,136.43,123.18,136.27,121.30,84.00,92.30,3.82,1.08,,
T110,Zach Charbonnet,SEA,RB,107.76,111.90,150.59,108.72,108.47,123.40,103.50,117.20,4.21,1.13,,
T110,J.K. Dobbins,DEN,RB,113.98,111.90,114.46,108.24,114.05,138.50,137.40,161.30,9.17,2.12,,
112,Tucker Kraft,GB,TE,121.42,113.60,109.89,107.23,124.03,122.80,98.40,103.50,3.47,1.87,,
113,Kyle Pitts,ATL,TE,150.25,114.10,137.89,109.76,149.91,126.30,99.30,109.80,7.80,1.22,,
114,Dak Prescott,DAL,QB,116.08,116.50,114.80,64.89,92.34,61.10,152.00,76.00,9.34,3.08,,
115,C.J. Stroud,HOU,QB,127.37,117.70,142.33,72.35,117.78,59.10,78.30,31.60,6.42,1.62,,
116,Jayden Higgins,HOU,WR,123.37,118.80,140.90,51.50,140.19,133.80,92.10,94.30,14.43,1.05,,
117,Michael Pittman,IND,WR,107.01,119.50,124.56,106.56,109.14,135.80,124.90,134.20,6.57,1.40,,
118,Brandon Aiyuk,SF,WR,133.41,120.00,160.00,129.16,135.26,127.30,97.70,103.60,7.63,0.53,PUP-P,Knee - ACL + MCL
119,Keon Coleman,BUF,WR,121.81,121.60,122.00,121.06,120.86,139.30,105.20,119.60,2.32,1.52,,
120,Darnell Mooney,ATL,WR,153.56,122.50,139.04,137.22,118.72,137.30,139.00,147.50,4.92,0.98,Ques,Shoulder
121,Rhamondre Stevenson,NE,RB,109.91,123.10,122.11,114.65,122.54,135.70,130.40,150.00,5.97,1.59,Ques,Undisclosed
122,Jake Ferguson,DAL,TE,143.12,124.00,145.46,125.91,143.53,130.60,131.80,137.90,3.24,0.94,,
123,Dallas Goedert,PHI,TE,146.85,125.30,125.65,115.11,160.07,134.40,154.40,163.50,4.80,1.17,,
124,Brandon Aubrey,DAL,K,146.24,126.40,111.89,122.37,-,227.30,188.20,347.00,2.96,2.41,,
125,Jake Bates,DET,K,141.12,129.80,107.85,131.64,-,230.50,191.70,351.30,1.97,1.99,,
126,Cameron Dicker,LAC,K,173.60,131.50,122.38,130.80,-,231.60,194.80,350.60,2.29,1.72,,
127,Chris Boswell,PIT,K,189.81,133.90,144.94,153.78,-,234.60,220.40,398.20,1.45,1.04,,
128,Najee Harris,LAC,RB,133.47,135.40,163.82,133.11,120.19,131.40,121.10,141.40,7.79,0.42,NFI-A,Eye
129,Chase McLaughlin,TB,K,171.72,137.70,117.23,145.37,-,243.90,229.10,365.20,1.63,1.49,,
130,Harrison Butker,KC,K,225.41,138.20,149.00,152.42,-,238.20,197.50,354.30,2.12,1.00,,
131,Caleb Williams,CHI,QB,136.81,139.90,124.05,74.78,97.02,50.60,79.60,23.20,7.34,1.85,,
132,Rashid Shaheed,NO,WR,121.27,140.90,138.00,135.89,135.15,144.00,145.70,153.90,3.33,1.05,,
133,Nick Chubb,HOU,RB,182.06,141.30,159.42,147.46,183.75,158.50,172.70,210.00,6.61,0.65,,
134,Jordan Love,GB,QB,137.87,142.90,140.78,83.10,115.51,69.80,110.30,42.70,7.96,1.69,Ques,Thumb
135,Drake Maye,NE,QB,119.51,143.60,138.75,76.01,113.26,55.60,86.70,29.50,7.67,1.79,,
136,Jake Elliott,PHI,K,204.93,143.90,142.23,150.36,-,283.40,227.80,362.30,1.95,1.07,,
137,Jaydon Blue,DAL,RB,146.82,145.70,160.25,58.99,157.65,143.90,117.40,139.30,5.88,0.72,Ques,Heel
138,Tyjae Spears,TEN,RB,125.31,147.10,146.25,132.72,138.05,141.30,127.30,143.70,3.60,0.91,Ques,Ankle
139,Tank Bigsby,JAX,RB,131.68,148.20,140.97,120.76,139.70,150.90,135.30,154.60,4.23,1.31,,
140,Tre Harris,LAC,WR,140.94,149.40,170.12,50.04,155.66,140.50,95.60,105.80,11.91,0.12,,
141,Justin Fields,NYJ,QB,110.95,150.60,123.47,80.29,109.92,71.70,150.70,87.00,7.70,2.09,,
142,J.J. McCarthy,MIN,QB,135.28,151.20,139.44,91.62,127.64,74.50,115.00,54.70,5.92,1.79,,
143,Marvin Mims,DEN,WR,121.83,151.40,164.50,133.05,130.32,147.50,141.30,149.30,4.84,0.36,,
144,Zach Ertz,WAS,TE,169.00,153.20,159.92,139.27,180.96,148.90,205.20,214.80,3.70,0.30,,
145,Rachaad White,TB,RB,144.10,154.90,149.23,133.14,148.98,149.30,142.90,159.10,4.81,0.92,Ques,Groin
146,Luther Burden,CHI,WR,148.46,155.40,167.57,54.23,135.25,142.90,90.10,97.70,15.46,0.21,,
147,Austin Ekeler,WAS,RB,160.73,156.30,133.73,134.10,170.61,156.40,178.20,207.40,5.86,1.15,,
148,Younghoe Koo,ATL,K,286.87,157.20,167.71,169.70,-,241.40,263.70,367.20,,0.23,,
149,Tyler Loop,BAL,K,191.18,159.30,165.41,92.78,-,242.90,221.30,358.90,,0.44,,
150,Keenan Allen,LAC,WR,139.13,161.30,128.41,144.22,165.06,186.10,233.90,242.40,5.54,1.34,,
151,Cameron Ward,TEN,QB,158.95,162.40,162.68,46.59,173.77,95.60,107.00,55.60,27.26,0.50,,
152,Trey Benson,ARI,RB,142.95,163.30,156.18,133.94,147.17,145.00,111.40,124.90,3.43,0.89,,
153,Christian Kirk,HOU,WR,119.53,164.00,167.83,143.14,127.99,155.70,174.30,182.40,4.25,0.20,,
154,Tyler Bass,BUF,K,205.63,165.20,152.12,170.05,-,289.80,226.40,363.30,1.42,0.87,Ques,Pelvis
155,Rashod Bateman,BAL,WR,162.05,166.40,166.44,128.36,145.62,153.10,153.40,165.50,5.49,0.22,,
156,Kyle Williams,NE,WR,167.31,167.10,169.99,52.69,180.15,151.10,129.10,130.70,9.10,0.10,Ques,Undisclosed
157,Ka'imi Fairbairn,HOU,K,193.52,167.30,166.13,162.34,-,285.20,269.20,366.20,1.50,0.26,,
158,Isaiah Likely,BAL,TE,193.22,169.70,168.33,145.61,171.83,146.90,119.30,126.60,3.75,0.11,Ques,Foot
159,Isaac Guerendo,SF,RB,138.80,170.00,167.57,146.98,147.48,154.70,147.10,162.80,3.01,0.34,Ques,Shoulder
160,Adam Thielen,CAR,WR,149.49,171.90,154.12,147.21,172.20,175.50,209.70,226.20,3.22,0.62,,
161,Hunter Henry,NE,TE,178.06,172.40,158.67,140.87,179.86,159.80,210.30,203.40,4.49,0.36,,
162,Trevor Lawrence,JAX,QB,137.24,173.70,164.54,90.95,127.76,79.10,156.90,63.90,8.45,0.60,,
163,Bhayshul Tuten,JAX,RB,137.74,174.00,169.13,59.62,159.72,151.70,119.60,127.30,6.63,0.21,,
164,Ray Davis,BUF,RB,149.07,175.30,168.93,143.70,148.50,157.60,155.30,169.00,1.76,0.23,,
165,Cam Little,JAX,K,371.55,175.70,152.47,152.06,-,282.40,262.00,489.50,,0.76,,
166,Evan McPherson,CIN,K,236.70,178.80,167.52,165.21,-,286.30,230.20,357.70,1.74,0.15,,
167,Braelon Allen,NYJ,RB,173.64,179.30,162.49,142.25,170.19,171.10,148.40,166.60,2.14,0.55,,
168,Michael Penix,ATL,QB,182.74,180.80,166.18,101.66,145.15,90.50,138.60,71.40,5.82,0.48,,
169,Dylan Sampson,CLE,RB,159.19,181.10,167.77,59.29,159.42,167.50,143.40,157.80,4.69,0.31,,
170,Dont'e Thornton,LV,WR,280.57,182.00,170.38,61.15,241.77,194.20,201.50,220.10,4.71,0.03,,
171,Brenton Strange,JAX,TE,172.55,183.10,169.63,134.51,194.15,162.30,179.30,172.80,4.52,0.08,,
172,Jerome Ford,CLE,RB,157.86,183.90,159.11,128.22,174.28,177.10,175.70,207.50,5.31,0.62,,
173,Tyler Allgeier,ATL,RB,163.55,185.50,162.35,157.02,168.44,166.20,162.90,177.90,6.76,0.66,,
174,Elijah Arroyo,SEA,TE,193.67,186.40,169.88,54.86,250.38,191.40,163.00,167.90,6.09,0.03,,
175,Bryce Young,CAR,QB,153.75,188.20,167.17,104.08,156.14,97.20,159.80,82.50,5.73,0.35,,
176,Jack Bech,LV,WR,201.62,189.30,170.07,49.75,199.26,163.20,118.70,123.70,5.93,0.16,,
177,Cedric Tillman,CLE,WR,162.45,190.40,162.72,157.13,162.86,175.20,170.00,171.60,2.56,0.40,,
178,Joshua Palmer,BUF,WR,171.60,191.10,170.59,166.87,193.25,183.30,203.10,219.70,4.35,0.05,,
179,Xavier Legette,CAR,WR,158.77,191.70,158.87,168.12,172.90,179.30,143.80,156.70,1.80,0.52,,
180,Jaylen Wright,MIA,RB,175.22,193.60,165.71,158.57,167.55,181.00,158.50,170.40,1.62,0.40,,
181,Hollywood Brown,KC,WR,141.45,194.40,164.54,182.93,155.29,172.60,181.50,186.00,4.82,0.39,Ques,Ankle
182,Matthew Stafford,LAR,QB,179.24,195.00,163.43,118.36,163.27,103.30,247.20,131.00,6.88,0.49,Ques,Back
183,DeMario Douglas,NE,WR,185.27,196.80,170.20,157.80,177.42,185.50,185.60,198.90,4.22,0.11,,
184,Kareem Hunt,KC,RB,203.82,197.00,169.89,164.99,209.35,198.70,236.70,251.20,3.66,0.11,Ques,Quadriceps
185,Mike Gesicki,CIN,TE,183.23,198.50,169.80,178.97,201.08,170.40,243.10,217.90,1.90,0.03,Ques,Hamstring
186,Rico Dowdle,CAR,RB,161.90,199.90,170.32,161.86,168.92,182.90,171.40,191.20,4.45,0.04,,
187,Wan'Dale Robinson,NYG,WR,166.88,200.00,167.13,142.70,154.15,178.60,175.50,179.80,3.19,0.18,,
188,DeAndre Hopkins,BAL,WR,193.07,201.70,169.39,197.98,218.38,199.10,235.40,246.60,3.49,0.11,Ques,Knee
189,Jalen McMillan,TB,WR,174.97,202.00,170.09,168.43,162.71,173.50,126.60,148.40,1.37,0.13,Ques,Back
190,Pat Freiermuth,PIT,TE,181.63,203.10,168.26,156.69,190.27,165.40,157.80,158.10,2.10,0.07,,
191,Daniel Carlson,LV,K,224.16,204.00,169.21,177.09,-,484.80,309.70,407.10,,0.05,,
192,Wil Lutz,DEN,K,206.86,206.70,168.99,147.38,-,483.70,306.80,655.10,1.47,0.12,,
193,Shedeur Sanders,CLE,QB,255.17,207.40,167.41,64.47,256.02,180.00,198.00,151.50,4.26,0.26,Ques,Oblique
194,Jacory Croskey-Merritt,WAS,RB,241.75,209.20,170.16,75.90,224.16,201.10,231.90,223.90,5.50,0.08,Ques,Shoulder
195,Tua Tagovailoa,MIA,QB,149.28,210.00,161.83,101.05,156.82,99.90,232.00,106.20,6.42,0.68,,
196,Darren Waller,MIA,TE,231.92,211.50,169.10,135.65,245.93,244.10,305.80,302.90,6.47,0.12,PUP-P,Undisclosed
197,Chig Okonkwo,TEN,TE,194.44,212.00,167.03,159.84,207.52,183.70,237.50,209.80,2.63,0.14,,
198,Mason Taylor,NYJ,TE,207.11,213.00,170.33,56.90,219.80,167.70,135.60,138.40,2.34,0.03,,
199,Woody Marks,HOU,RB,304.36,214.20,170.73,70.80,236.13,245.20,214.50,206.30,3.69,0.05,,
200,Cade Otton,TB,TE,186.32,215.10,169.26,175.95,205.40,174.10,151.10,164.60,2.43,0.07,,
201,Aaron Rodgers,PIT,QB,189.76,215.80,168.20,125.77,198.36,132.40,275.10,180.50,6.22,0.21,,
202,Sam Darnold,SEA,QB,167.58,217.80,168.74,118.78,175.60,118.10,241.50,114.90,5.96,0.33,,
203,Blake Corum,LAR,RB,189.83,218.30,170.40,180.34,191.97,195.30,159.50,181.00,,0.06,,
204,Romeo Doubs,GB,WR,165.82,219.00,170.56,175.32,183.38,193.80,187.70,197.50,2.09,0.07,,
205,Elic Ayomanor,TEN,WR,200.50,220.10,170.00,59.06,243.41,215.70,167.50,178.90,2.61,0.01,,
206,Roschon Johnson,CHI,RB,208.77,221.20,170.85,180.33,192.74,187.70,207.50,205.70,6.35,0.06,Ques,Foot
207,Tyler Lockett,TEN,WR,239.00,222.50,169.97,205.98,257.40,214.30,282.50,268.10,2.78,0.07,,
T208,Geno Smith,LV,QB,159.51,223.10,169.19,114.76,179.06,111.90,279.20,128.00,5.68,0.24,,
T208,Will Shipley,PHI,RB,197.11,223.10,169.91,164.90,210.90,207.20,245.10,234.10,5.29,0.14,,
210,Pat Bryant,DEN,WR,236.38,225.30,170.69,58.22,219.97,192.00,169.40,174.10,3.30,0.03,,
211,Quentin Johnston,LAC,WR,174.92,226.00,170.69,153.28,165.15,189.70,165.80,183.50,2.45,0.02,Ques,Concussion
212,Anthony Richardson,IND,QB,205.87,227.20,169.83,122.51,190.41,129.40,211.10,122.20,2.96,0.16,,
213,Dalton Schultz,HOU,TE,206.53,228.40,169.42,176.32,232.84,190.40,257.00,228.60,3.09,0.05,,
214,Justice Hill,BAL,RB,201.99,229.90,170.10,172.41,201.86,197.80,247.00,252.20,3.21,0.11,,
215,Jake Moody,SF,K,382.73,231.10,169.16,178.00,-,527.80,271.50,405.40,,0.03,,
216,Will Reichard,MIN,K,264.01,233.90,169.20,183.16,-,535.90,196.80,599.90,,0.11,,
217,Isaac TeSlaa,DET,WR,287.04,238.50,169.60,61.81,270.18,258.90,199.60,202.80,3.10,0.06,,
218,Tory Horton,SEA,WR,238.58,239.40,169.87,65.40,258.79,252.20,204.80,211.40,5.21,0.02,Ques,Ankle
219,Jaxson Dart,NYG,QB,212.47,240.00,168.85,53.22,238.83,164.70,166.50,102.00,14.62,0.19,,
220,Kyle Monangai,CHI,RB,339.42,241.00,170.21,80.80,252.38,221.80,206.20,215.50,3.40,0.02,Ques,Undisclosed
221,Keaton Mitchell,BAL,RB,238.01,242.80,170.10,171.51,239.42,250.60,238.40,229.10,2.93,0.01,,
222,Ollie Gordon,MIA,RB,422.91,243.20,170.18,73.12,241.68,218.90,173.50,190.00,2.85,0.02,,
223,Miles Sanders,DAL,RB,205.47,244.10,170.47,197.18,236.47,211.70,273.40,261.90,2.32,0.03,,
224,Alec Pierce,IND,WR,190.15,245.70,170.22,189.02,212.96,202.60,215.10,223.10,2.93,0.01,Ques,Groin
225,Raheem Mostert,LV,RB,213.88,246.70,170.26,201.51,246.34,253.40,278.20,286.50,1.84,0.02,,
226,Jalen Royals,KC,WR,213.74,247.20,169.94,56.64,258.63,213.20,161.80,173.40,4.83,0.01,Ques,Knee
227,Tahj Brooks,CIN,RB,241.09,247.60,170.12,72.56,239.94,247.70,242.60,222.80,2.84,0.01,,
228,Jarquez Hunter,LAR,RB,215.23,249.90,170.32,60.27,216.51,217.90,202.40,188.40,2.24,0.01,,
