POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Makari Paige,S,38,-,-,-,-,-,-,-,-,-,-,-,-,23.6,A,6'4",208,-,MICHIGAN,2025,-,-
41st of 98,Tyler Nubin,S,27,65.8,76.6,60.7,58.1,789,339,10,440,24.1,A,6'2",210,-,MINNESOTA,2024,2,47
57th of 98,Jevon Holland,S,8,63.0,73.4,62.5,57.1,854,312,26,516,25.4,A,6'1",210,-,OREGON,2021,2,36
57th of 98,Dane Belton,S,24,63.0,64.4,57.2,61.3,460,187,15,258,24.7,A,6'1",205,-,IOWA,2022,4,114
59th of 84,Darius Muasau,LB,53,58.9,68.1,51.1,50.4,435,217,22,196,24.5,A,6'2",230,-,UCLA,2024,6,184
-,Demetrius Flannigan-Fowles,LB,44,50.6,42.2,59.0,30.2,151,85,8,58,29.9,A,6'2",223,-,ARIZONA,2019,-,-
15th of 84,Bobby Okereke,LB,58,74.9,71.8,63.2,68.2,734,313,35,386,29.0,A,6'1",235,-,STANFORD,2019,3,89
-,Chris Board,LB,49,65.5,58.6,63.2,66.4,213,76,12,125,30.0,A,6'2",244,-,N DAK ST,2018,-,-
48th of 84,Micah McFadden,LB,41,62.8,66.0,79.6,53.5,668,334,37,297,25.6,A,6'2",232,-,INDIANA,2022,5,146
-,Elijah Garcia,DI,90,66.5,68.5,57.3,60.0,143,64,78,1,0.0,A,6'5",302,-,RICE,2022,-,-
56th of 118,Elijah Chatman,DI,94,58.9,57.7,59.8,59.1,423,155,264,4,0.0,A,6'0",278,-,SMU,2024,-,-
